JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2449952.4,12.2,,,Vis.,BMU,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449952.5,12.4,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449952.8,12.2,,,Vis.,MDW,,,,,,,,V,,,,RU AND,,STD,,,,
2449955.4,12.2,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449955.5,12.5,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449957.9160,12.3,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2449958.0,11.9,,,Vis.,JM,,,,,,,,V,,,,RU AND,,STD,,,,
2449960.4,12.4,,,Vis.,BMU,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449961.5,12.6,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449961.8,12.4,,,Vis.,MDW,,,,,,,,V,,,,RU AND,,STD,,,,
2449962.4,12.2,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449966.0,12.3,,,Vis.,JM,,,,,,,,V,,,,RU AND,,STD,,,,
2449977.5,12.8,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449981.5,12.8,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2449983.4,12.3,,,Vis.,MDI,,,,,,,,V,,,,RU AND,,STD,,,,
2449984.5,12.9,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449987.58,12.9,,,Vis.,TDB,,,,,,,,V,,,,RU AND,,STD,,,,
2449988.4,12.9,,,Vis.,POX,,,,,,,,V,,,,RU AND,,STD,,,,
2449989.9,12.9,,,Vis.,MDW,,,,,,,,V,,,,RU AND,,STD,,,,
2449990.5,13.0,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2449992.6,13.1,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450005.6,13.3,,,Vis.,FCA,,,,,,,,V,,,,RU AND,,STD,,,,
2450006.5,<12.6,,,Vis.,FFC,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2450008.9,12.8,,,Vis.,JM,,,,,,,,V,,,,RU AND,,STD,,,,
2450010.5,13.0,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450010.6,13.3,,,Vis.,SET,,,,,,,,V,,,,RU AND,,STD,,,,
2450012.4,12.9,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450012.7,12.5,,,Vis.,GOP,,,,,,,,V,,,,RU AND,,STD,,,,
2450013.5,12.5,,,Vis.,KIL,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450013.5,12.9,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2450014.7,12.4,,,Vis.,MLI,,,,,,,,V,,,,RU AND,,STD,,,,
2450021.4,12.1,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450024.5,12.3,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450034.4,11.9,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450039.4,11.2,,,Vis.,MDI,,,,,,,,V,,,,RU AND,,STD,,,,
2450040.4,11.5,,,Vis.,VED,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2450040.5,12.2,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450044.5,11.4,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2450044.5,12.0,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450048.5,11.7,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450050.4,10.8,,,Vis.,VED,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2450056.6,10.7,,,Vis.,MLI,,,,,,,,V,,,,RU AND,,STD,,,,
2450066.7,10.7,,,Vis.,JM,,,,,,,,V,,,,RU AND,,STD,,,,
2450067.3,11.0,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450067.5,10.9,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450068.6,10.9,,,Vis.,FCA,,,,,,,,V,,,,RU AND,,STD,,,,
2450068.6,11.0,,,Vis.,SET,,,,,,,,V,,,,RU AND,,STD,,,,
2450073.5,10.7,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450076.5694,10.7,,,Vis.,GOP,,,,,,,,V,,,,RU AND,,STD,,,,
2450080.5,10.7,,,Vis.,FCA,,,,,,,,V,,,,RU AND,,STD,,,,
2450080.7,10.6,,,Vis.,MKJ,,,,,,,,V,,,,RU AND,,STD,,,,
2450091.6,11.0,,,Vis.,JM,,,,,,,,V,,,,RU AND,,STD,,,,
2450093.5625,10.9,,,Vis.,HOV,,,,,,,,V,,,,RU AND,,STD,,,,
2450094.5,11.2,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2450095.6028,11.1,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2450096.4,10.9,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450096.5,11.3,,,Vis.,FCA,,,,,,,,V,,,,RU AND,,STD,,,,
2450096.5,10.7,,,Vis.,KIL,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450096.5,10.8,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450098.6,11.3,,,Vis.,MKJ,,,,,,,,V,,,,RU AND,,STD,,,,
2450102.2,11.1,,,Vis.,VED,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2450102.6,10.9,,,Vis.,JM,,,,,,,,V,,,,RU AND,,STD,,,,
2450104.5,11.0,,,Vis.,SNO,,,,,,,,V,,,,RU AND,MCSE,STD,,,,
2450107.4,11.5,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450108.3,11.2,,,Vis.,FJH,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450108.6,11.3,,,Vis.,MKJ,,,,,,,,V,,,,RU AND,,STD,,,,
2450114.5833,11.4,,,Vis.,HOV,,,,,,,,V,,,,RU AND,,STD,,,,
2450121.6,11.3,,,Vis.,JM,,,,,,,,V,,,,RU AND,,STD,,,,
2450124.5,11.4,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2450129.6,11.4,,,Vis.,JM,,,,,,,,V,,,,RU AND,,STD,,,,
2450130.3,11.8,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450130.6,12.1,,,Vis.,MDW,,,,,,,,V,,,,RU AND,,STD,,,,
2450139.5,11.3,,,Vis.,MKJ,,,,,,,,V,,,,RU AND,,STD,,,,
2450146.3,12.2,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450152.3,11.1,,,Vis.,JRJ,,,,,,,,V,,,,RU AND,KNVWS,STD,,,,
2450153.5,11.7,,,Vis.,SHS,,,,,,,,V,,,,RU AND,,STD,,,,
2450156.33,11.5,,,Vis.,MPR,,,,,,,,V,,,,RU AND,,STD,,,,
2450157.29,11.6,,,Vis.,MPR,,,,,,,,V,,,,RU AND,,STD,,,,
